urls,emails
https://www.systemsltd.com/,"Fayez.Qamar@systemsltd.com, Investor_relations@systemsltd.com"
https://www.netsoltech.com/,No emails found
https://10pearls.com/,No emails found
https://arbisoft.com/,No emails found
https://contour-software.com/,No emails found
https://www.techlogix.com/,No emails found
https://folio3.com/,No emails found
https://www.venturedive.com/,No emails found
https://www.rolustech.com/,No emails found
https://www.tkxel.com,No emails found
https://www.cisinlabs.com/    ,"abuse@cisin.com, info@cisin.com"
https://www.axiomzen.co/,No emails found
https://www.ibm.com/,"6557@il.ibm.com, Croatia.Control.Center@hr.ibm.com, IBM%20Support%20(Hardware%20&%20Software)%20Toll%20Free:%20%F0%9F%93%9E%208776178387%20%20(AT&T:%2001426801)%20Alternate%20Number:%20%F0%9F%93%9E%20+44%2023%209228%209261%20Emergency%20Phones:%20%F0%9F%93%9E%20+20%2010%20246%2072222,%20+20%2010%20246%2073333%20Task%20ID%20(Monitored%2024/7):TSS@eg.ibm.com, IBM_Customer_Support_Bulgaria@bg.ibm.com, Info.Finland@ibm.com, InfoDenmark@ibm.com, InfoFinland@ibm.com, InfoNorway@ibm.com, InfoSweden@ibm.com, MENARRC@eg.ibm.com, SPOC@lv.ibm.com, TSS@eg.ibm.com, blueline@be.ibm.com, cc@tr.ibm.com, cok@pl.ibm.com, complaints@fscl.org.nz, control-center-pk@ibm.com, gsc@at.ibm.com, ibm.luxembourg.sarl@be.ibm.com, ibm.office@ua.ibm.com, ibm@ee.ibm.com, ibm_directo@pt.ibm.com, ibmdiro@ch.ibm.com, ibmenquire@ie.ibm.com, ibmoffice@rs.ibm.com, info@hr.ibm.com, info@ro.ibm.com, info@si.ibm.com, infolt@lt.ibm.com, infolv@lv.ibm.com, lopezordonez@es.ibm.com, podpora@si.ibm.com, romania.hardware@ro.ibm.com, rossoft@ro.ibm.com, servis@cz.ibm.com, servlt@lt.ibm.com, support@mibbint.com, support@rs.ibm.com, szerviz@hu.ibm.com, uaserv@ua.ibm.com"
https://www.capgemini.com/,No emails found
